finca_id,abandon_score,activity_status,median_ndvi,std_deviation,cv_percent,valid_periods
finca_00286,85.0,inactive,0.24864969430369574,0.04034865413406248,16.2,13
finca_00287,104.5,potential,0.3259132938415439,0.05101761381509422,15.7,12
finca_00288,85.0,inactive,0.20941303662128727,0.06143978130015498,29.3,12
finca_00289,85.0,inactive,0.2390834814172398,0.05001847412482716,20.9,13
finca_00290,85.0,inactive,0.24864218607088326,0.04616220835190953,18.6,12
finca_00291,111.3,potential,0.30759183326038164,0.057489520635754965,18.7,13
finca_00292,85.0,inactive,0.2220305099333359,0.11702899393482899,52.7,12
finca_00293,85.0,inactive,0.20230302854274307,0.0959375115273436,47.4,13
finca_00294,85.0,inactive,0.2571615251231668,0.031336763269997285,12.2,12
finca_00295,85.0,inactive,0.2349657396830753,0.0654560305596269,27.9,13
finca_00296,85.0,inactive,0.25914493489690205,0.028230141641412805,10.9,12
finca_00297,106.6,potential,0.3244747539302716,0.026849127187694763,8.3,12
finca_00298,85.0,inactive,0.2946889582313238,0.06542276278469945,22.2,13
finca_00299,85.0,inactive,0.2804016389759837,0.039650248329675175,14.1,13
finca_00300,85.0,inactive,0.2321033779057555,0.03149497809372162,13.6,13
finca_00301,85.0,inactive,0.25865712211067604,0.0337561977627523,13.1,13
finca_00302,85.0,inactive,0.18904385563902695,0.030454135550721653,16.1,13
finca_00303,85.0,inactive,0.16970194311304457,0.033016081579667796,19.5,13
finca_00304,85.0,inactive,0.18602558513471337,0.0261181113502937,14.0,13
finca_00305,85.0,inactive,0.19339156940847596,0.08508350073361512,44.0,13
finca_00306,85.0,inactive,0.27440904407283606,0.03924632370492448,14.3,13
finca_00307,85.0,inactive,0.21529923143241708,0.02674282183543161,12.4,13
finca_00308,85.0,inactive,0.24707197615555213,0.0241685195239505,9.8,12
finca_00309,85.0,inactive,0.2289571927019569,0.00927952618678847,4.1,12
finca_00310,85.0,inactive,0.24068703766780034,0.008521318750616482,3.5,12
finca_00311,85.0,inactive,0.24916237619488296,0.060527834998556455,24.3,13
finca_00312,85.0,inactive,0.20276209354169622,0.03677742348830227,18.1,13
finca_00313,85.0,inactive,0.25555986489005283,0.051773017727698864,20.3,13
finca_00314,85.0,inactive,0.24832745958169916,0.059267408086654566,23.9,13
finca_00315,85.0,inactive,0.27300903275732724,0.08482696296447476,31.1,13
finca_00316,85.0,inactive,0.28410719835333115,0.045813970304223385,16.1,13
finca_00317,85.0,inactive,0.23570761071350824,0.06485323475054033,27.5,13
finca_00318,85.0,inactive,0.228941886617432,0.028870715071974307,12.6,13
finca_00319,85.0,inactive,0.20698252139063097,0.03993003833582081,19.3,13
finca_00320,85.0,inactive,0.2888349892304312,0.0159032318944193,5.5,13
finca_00321,85.0,inactive,0.26534651424860933,0.02916164715213724,11.0,13
finca_00322,85.0,inactive,0.25013296801322576,0.03152239019382112,12.6,13
finca_00323,85.0,inactive,0.2720582401816452,0.013878196886388385,5.1,13
finca_00324,85.0,inactive,0.22024456812861332,0.02145402989044408,9.7,13
finca_00325,85.0,inactive,0.26893809020507137,0.04437196716367821,16.5,12
finca_00326,85.0,inactive,0.25681851742628475,0.0318465695812166,12.4,11
finca_00327,115.7,potential,0.3043113607826356,0.04856612430885532,16.0,12
